Pay Date,-140 BPs,-120 BPs,-100 BPs,  -80  BPs,  -60  BPs,  -40 BPs,  -20 BPs,      0 BPs,    20 BPs,    40 BPs,    60 BPs,    80 BPs, 100 BPs, 120 BPs, 140 BPs
02/35,9,8.69,8.36,8,7.6,7.12,6.54,5.89,5.16,4.83,4.57,4.31,4.18,4.05,3.93
03/35,8.2,7.91,7.61,7.29,6.93,6.5,5.97,5.38,4.71,4.41,4.17,3.93,3.82,3.7,3.59
04/35,10.48,10.16,9.81,9.41,8.99,8.47,7.83,7.11,6.29,5.89,5.57,5.25,5.1,4.94,4.79
05/35,10.61,10.3,9.95,9.57,9.15,8.65,8.01,7.29,6.48,6.07,5.74,5.41,5.25,5.1,4.94
06/35,11.5,11.19,10.82,10.42,9.98,9.46,8.78,8.02,7.15,6.7,6.34,5.98,5.81,5.63,5.46
07/35,12.15,11.83,11.45,11.03,10.58,10.04,9.32,8.54,7.63,7.15,6.77,6.39,6.2,6.01,5.83
08/35,11.64,11.33,10.97,10.56,10.12,9.61,8.92,8.17,7.29,6.83,6.46,6.1,5.92,5.74,5.57
09/35,12.36,12.04,11.66,11.23,10.77,10.23,9.51,8.71,7.79,7.3,6.91,6.52,6.33,6.14,5.95
10/35,10.69,10.4,10.05,9.68,9.27,8.79,8.15,7.45,6.64,6.22,5.88,5.55,5.39,5.23,5.07
11/35,10.98,10.67,10.33,9.94,9.52,9.03,8.38,7.66,6.83,6.4,6.05,5.71,5.54,5.38,5.21
12/35,9.3,9.02,8.71,8.38,8.01,7.57,7.01,6.38,5.66,5.3,5.02,4.73,4.59,4.45,4.32
01/36,9.26,8.97,8.66,8.31,7.94,7.49,6.92,6.29,5.56,5.21,4.92,4.64,4.51,4.37,4.24
02/36,8.63,8.34,8.04,7.71,7.36,6.93,6.39,5.78,5.1,4.77,4.51,4.26,4.13,4.01,3.88
03/36,7.86,7.6,7.33,7.03,6.71,6.32,5.83,5.28,4.65,4.36,4.12,3.89,3.77,3.66,3.55
04/36,10.09,9.8,9.47,9.12,8.73,8.26,7.66,6.98,6.21,5.82,5.5,5.19,5.04,4.89,4.74
05/36,10.23,9.95,9.63,9.28,8.9,8.44,7.84,7.17,6.4,6,5.67,5.35,5.2,5.04,4.88
06/36,11.12,10.83,10.49,10.12,9.72,9.24,8.6,7.89,7.07,6.62,6.27,5.92,5.74,5.57,5.4
07/36,11.75,11.46,11.11,10.72,10.31,9.82,9.14,8.4,7.54,7.07,6.69,6.31,6.13,5.95,5.76
08/36,11.25,10.97,10.64,10.26,9.86,9.39,8.74,8.03,7.21,6.75,6.39,6.03,5.85,5.68,5.51
09/36,11.96,11.67,11.31,10.92,10.5,10,9.32,8.57,7.7,7.22,6.83,6.45,6.26,6.07,5.89
10/36,10.32,10.05,9.74,9.39,9.02,8.58,7.98,7.32,6.56,6.15,5.81,5.49,5.33,5.17,5.01
11/36,10.59,10.32,10,9.64,9.26,8.81,8.2,7.53,6.74,6.32,5.98,5.64,5.48,5.31,5.15
12/36,8.94,8.7,8.41,8.11,7.77,7.38,6.85,6.27,5.59,5.24,4.96,4.68,4.54,4.4,4.27
01/37,8.89,8.63,8.34,8.03,7.69,7.29,6.76,6.17,5.49,5.14,4.86,4.59,4.45,4.32,4.19
02/37,8.26,8,7.73,7.43,7.11,6.73,6.23,5.67,5.03,4.71,4.46,4.2,4.08,3.96,3.83
03/37,7.52,7.29,7.04,6.77,6.48,6.13,5.68,5.17,4.59,4.3,4.07,3.84,3.73,3.61,3.5
04/37,9.71,9.45,9.15,8.82,8.46,8.05,7.48,6.86,6.13,5.75,5.44,5.13,4.98,4.83,4.68
05/37,9.86,9.61,9.32,8.99,8.64,8.23,7.67,7.05,6.32,5.92,5.61,5.29,5.13,4.98,4.83
06/37,10.73,10.48,10.17,9.83,9.46,9.03,8.42,7.76,6.98,6.55,6.19,5.85,5.68,5.51,5.34
07/37,11.4,11.14,10.82,10.46,10.08,9.63,8.99,8.3,7.49,7.02,6.65,6.28,6.09,5.91,5.73
08/37,10.96,10.71,10.4,10.05,9.68,9.25,8.64,7.97,7.19,6.74,6.39,6.03,5.86,5.69,5.51
09/37,11.69,11.43,11.1,10.73,10.34,9.89,9.24,8.54,7.71,7.24,6.86,6.48,6.29,6.11,5.92
10/37,10.13,9.89,9.6,9.27,8.93,8.53,7.96,7.34,6.62,6.21,5.89,5.56,5.41,5.25,5.09
11/37,10.44,10.19,9.89,9.56,9.21,8.8,8.21,7.58,6.84,6.42,6.09,5.75,5.59,5.43,5.27
12/37,8.87,8.64,8.38,8.09,7.78,7.42,6.92,6.37,5.73,5.39,5.11,4.83,4.7,4.56,4.43
01/38,8.84,8.61,8.34,8.05,7.73,7.36,6.86,6.31,5.66,5.32,5.05,4.78,4.65,4.52,4.39
02/38,8.26,8.03,7.78,7.5,7.2,6.85,6.38,5.85,5.25,4.93,4.68,4.44,4.31,4.19,4.07
03/38,7.6,7.39,7.16,6.91,6.63,6.31,5.88,5.4,4.85,4.57,4.34,4.11,4,3.89,3.78
04/38,9.79,9.55,9.27,8.96,8.62,8.23,7.69,7.1,6.4,6.03,5.72,5.42,5.27,5.13,4.98
05/38,10,9.76,9.48,9.18,8.84,8.46,7.92,7.32,6.63,6.24,5.93,5.62,5.46,5.31,5.16
06/38,10.9,10.66,10.37,10.04,9.69,9.28,8.7,8.06,7.31,6.89,6.54,6.2,6.03,5.87,5.7
07/38,11.56,11.32,11.01,10.66,10.3,9.87,9.26,8.6,7.81,7.35,6.99,6.63,6.45,6.27,6.09
08/38,11.13,10.89,10.59,10.26,9.91,9.5,8.91,8.27,7.52,7.08,6.73,6.38,6.21,6.04,5.88
09/38,11.84,11.59,11.28,10.93,10.56,10.13,9.51,8.83,8.03,7.57,7.19,6.82,6.64,6.46,6.28
10/38,10.31,10.08,9.81,9.5,9.17,8.79,8.24,7.65,6.95,6.56,6.24,5.92,5.77,5.61,5.46
11/38,10.61,10.38,10.09,9.78,9.44,9.05,8.49,7.89,7.17,6.76,6.44,6.11,5.95,5.79,5.64
12/38,9.07,8.85,8.61,8.33,8.04,7.7,7.22,6.7,6.08,5.74,5.47,5.2,5.07,4.94,4.81
01/39,9.03,8.81,8.56,8.28,7.98,7.64,7.16,6.63,6.01,5.68,5.41,5.15,5.02,4.89,4.76
02/39,8.46,8.24,8.01,7.74,7.46,7.13,6.68,6.18,5.6,5.3,5.05,4.81,4.69,4.57,4.46
03/39,7.82,7.62,7.4,7.16,6.91,6.61,6.19,5.74,5.21,4.94,4.71,4.49,4.39,4.28,4.17
04/39,9.96,9.74,9.47,9.17,8.86,8.49,7.97,7.41,6.74,6.37,6.08,5.78,5.64,5.5,5.35
05/39,10.17,9.96,9.69,9.4,9.08,8.72,8.2,7.63,6.96,6.58,6.28,5.98,5.83,5.68,5.53
06/39,11.07,10.84,10.56,10.25,9.91,9.53,8.97,8.36,7.64,7.22,6.89,6.55,6.39,6.22,6.06
